候補ID,免許行政庁,免許番号,会社名,都道府県,発見日,発見元URL,状態,試行回数,最終試行日,公式URL候補,メモ
MLIT-14-00001872,神奈川県,001872,株式会社 大和商事,神奈川県,2026-07-27,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=14&pageCount=2&pageListNo1=2&pageListNo2=2,マスター未登録,1,2026-07-30,,国土交通省公開検索から自動発見
MLIT-13-00000001,東京都,000001,株式会社 三富不動産,東京都,2026-07-16,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=13&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-16,,国土交通省公開検索から自動発見
MLIT-13-00000044,東京都,000044,栗城建設興業 株式会社,東京都,2026-07-16,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=13&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-16,,国土交通省公開検索から自動発見
MLIT-13-00000060,東京都,000060,株式会社 長岡建設,東京都,2026-07-16,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=13&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-16,,国土交通省公開検索から自動発見
MLIT-13-00000093,東京都,000093,株式会社 伊藤商会,東京都,2026-07-16,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=13&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-16,,国土交通省公開検索から自動発見
MLIT-13-00000098,東京都,000098,株式会社 三和不動産鑑定事務所,東京都,2026-07-16,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=13&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-16,,国土交通省公開検索から自動発見
MLIT-13-00000114,東京都,000114,レイモンド不動産 株式会社,東京都,2026-07-16,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=13&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-16,,国土交通省公開検索から自動発見
MLIT-13-00000164,東京都,000164,株式会社 なかやま不動産,東京都,2026-07-16,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=13&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-16,,国土交通省公開検索から自動発見
MLIT-13-00000170,東京都,000170,有限会社 マルミ商事,東京都,2026-07-16,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=13&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-16,,国土交通省公開検索から自動発見
MLIT-13-00000212,東京都,000212,日本不動産 株式会社,東京都,2026-07-16,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=13&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-21,,国土交通省公開検索から自動発見
MLIT-13-00000218,東京都,000218,西武建設 株式会社,東京都,2026-07-16,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=13&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-21,,国土交通省公開検索から自動発見
MLIT-11-00000001,埼玉県,000001,武藏野土地株式会社,埼玉県,2026-07-21,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=11&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-21,,国土交通省公開検索から自動発見
MLIT-11-00000003,埼玉県,000003,福岡土地有限会社,埼玉県,2026-07-21,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=11&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-21,,国土交通省公開検索から自動発見
MLIT-11-00000030,埼玉県,000030,近藤不動産株式会社,埼玉県,2026-07-21,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=11&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-21,,国土交通省公開検索から自動発見
MLIT-11-00000047,埼玉県,000047,株式会社石井不動産,埼玉県,2026-07-21,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=11&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-21,,国土交通省公開検索から自動発見
MLIT-11-00000060,埼玉県,000060,ＫＭ不動産株式会社,埼玉県,2026-07-21,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=11&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-21,,国土交通省公開検索から自動発見
MLIT-11-00000079,埼玉県,000079,株式会社三井商事,埼玉県,2026-07-21,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=11&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-21,,国土交通省公開検索から自動発見
MLIT-11-00000101,埼玉県,000101,有限会社旭商事,埼玉県,2026-07-21,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=11&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-21,,国土交通省公開検索から自動発見
MLIT-11-00000122,埼玉県,000122,三幸土地建物株式会社,埼玉県,2026-07-21,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=11&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-21,,国土交通省公開検索から自動発見
MLIT-11-00000126,埼玉県,000126,株式会社日和商事,埼玉県,2026-07-21,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=11&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-22,,国土交通省公開検索から自動発見
MLIT-14-00000013,神奈川県,000013,株式会社 大谷商事,神奈川県,2026-07-21,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=14&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-21,,国土交通省公開検索から自動発見
MLIT-14-00000024,神奈川県,000024,浅間建設 株式会社,神奈川県,2026-07-21,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=14&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-21,,国土交通省公開検索から自動発見
MLIT-14-00000060,神奈川県,000060,東横不動産 株式会社,神奈川県,2026-07-21,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=14&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-21,,国土交通省公開検索から自動発見
MLIT-14-00000066,神奈川県,000066,相澤土地 株式会社,神奈川県,2026-07-21,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=14&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-21,,国土交通省公開検索から自動発見
MLIT-14-00000071,神奈川県,000071,東栄商事 株式会社,神奈川県,2026-07-21,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=14&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-21,,国土交通省公開検索から自動発見
MLIT-14-00000162,神奈川県,000162,有限会社 濱屋,神奈川県,2026-07-21,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=14&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-21,,国土交通省公開検索から自動発見
MLIT-14-00000181,神奈川県,000181,大栄興業 株式会社,神奈川県,2026-07-21,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=14&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-22,,国土交通省公開検索から自動発見
MLIT-14-00000198,神奈川県,000198,親和商事 有限会社,神奈川県,2026-07-21,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=14&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-22,,国土交通省公開検索から自動発見
MLIT-14-00000260,神奈川県,000260,有限会社 協和商事,神奈川県,2026-07-21,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=14&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-22,,国土交通省公開検索から自動発見
MLIT-14-00000365,神奈川県,000365,有限会社 小沢建設商事,神奈川県,2026-07-21,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=14&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-22,,国土交通省公開検索から自動発見
MLIT-12-00000001,千葉県,000001,千葉復興株式会社,千葉県,2026-07-22,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=12&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-22,,国土交通省公開検索から自動発見
MLIT-12-00000119,千葉県,000119,北葉開発株式会社,千葉県,2026-07-22,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=12&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-22,,国土交通省公開検索から自動発見
MLIT-12-00000234,千葉県,000234,有限会社川崎不動産,千葉県,2026-07-22,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=12&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-23,,国土交通省公開検索から自動発見
MLIT-12-00000271,千葉県,000271,丸正商事株式会社,千葉県,2026-07-22,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=12&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-23,,国土交通省公開検索から自動発見
MLIT-12-00000283,千葉県,000283,ミドリ不動産株式会社,千葉県,2026-07-22,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=12&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-23,,国土交通省公開検索から自動発見
MLIT-12-00000286,千葉県,000286,株式会社富士見地所,千葉県,2026-07-22,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=12&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-23,,国土交通省公開検索から自動発見
MLIT-12-00000292,千葉県,000292,常南土地株式会社,千葉県,2026-07-22,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=12&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-23,,国土交通省公開検索から自動発見
MLIT-12-00000298,千葉県,000298,日東不動産株式会社,千葉県,2026-07-22,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=12&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-23,,国土交通省公開検索から自動発見
MLIT-08-00000014,茨城県,000014,下館土地株式会社,茨城県,2026-07-23,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=08&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-24,,国土交通省公開検索から自動発見
MLIT-08-00000021,茨城県,000021,有限会社高橋商事,茨城県,2026-07-23,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=08&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-24,,国土交通省公開検索から自動発見
MLIT-08-00000036,茨城県,000036,平和不動産株式会社,茨城県,2026-07-23,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=08&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-24,,国土交通省公開検索から自動発見
MLIT-08-00000058,茨城県,000058,有限会社栄進,茨城県,2026-07-23,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=08&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-24,,国土交通省公開検索から自動発見
MLIT-08-00000106,茨城県,000106,有限会社岩田不動産,茨城県,2026-07-23,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=08&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-24,,国土交通省公開検索から自動発見
MLIT-08-00000109,茨城県,000109,関友商事株式会社,茨城県,2026-07-23,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=08&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-24,,国土交通省公開検索から自動発見
MLIT-08-00000110,茨城県,000110,株式会社野口物産,茨城県,2026-07-23,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=08&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-24,,国土交通省公開検索から自動発見
MLIT-08-00000167,茨城県,000167,公益財団法人茨城県開発公社,茨城県,2026-07-23,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=08&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-24,,国土交通省公開検索から自動発見
MLIT-08-00000204,茨城県,000204,一般財団法人笠間市開発公社,茨城県,2026-07-23,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=08&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-25,,国土交通省公開検索から自動発見
MLIT-09-00000002,栃木県,000002,丸栃不動産倉庫 株式会社,栃木県,2026-07-24,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=09&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-25,,国土交通省公開検索から自動発見
MLIT-09-00000022,栃木県,000022,有限会社 カワシマ不動産,栃木県,2026-07-24,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=09&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-25,,国土交通省公開検索から自動発見
MLIT-09-00000054,栃木県,000054,昭和商事 株式会社,栃木県,2026-07-24,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=09&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-25,,国土交通省公開検索から自動発見
MLIT-09-00000062,栃木県,000062,小金井不動産 株式会社,栃木県,2026-07-24,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=09&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-25,,国土交通省公開検索から自動発見
MLIT-09-00000064,栃木県,000064,前田不動産 株式会社,栃木県,2026-07-24,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=09&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-25,,国土交通省公開検索から自動発見
MLIT-09-00000108,栃木県,000108,協立不動産 株式会社,栃木県,2026-07-24,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=09&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-25,,国土交通省公開検索から自動発見
MLIT-09-00000117,栃木県,000117,株式会社 万建設興業,栃木県,2026-07-24,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=09&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-26,,国土交通省公開検索から自動発見
MLIT-09-00000159,栃木県,000159,大国不動産 株式会社,栃木県,2026-07-24,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=09&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-26,,国土交通省公開検索から自動発見
MLIT-09-00000168,栃木県,000168,小山土地建物 株式会社,栃木県,2026-07-24,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=09&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-26,,国土交通省公開検索から自動発見
MLIT-09-00000182,栃木県,000182,有限会社 東栄不動産,栃木県,2026-07-24,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=09&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-26,,国土交通省公開検索から自動発見
MLIT-10-00000038,群馬県,000038,株式会社ティーエムエフ,群馬県,2026-07-25,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=10&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-26,,国土交通省公開検索から自動発見
MLIT-10-00000075,群馬県,000075,鵜川興業株式会社,群馬県,2026-07-25,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=10&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-26,,国土交通省公開検索から自動発見
MLIT-10-00000098,群馬県,000098,有限会社田口不動産,群馬県,2026-07-25,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=10&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-26,,国土交通省公開検索から自動発見
MLIT-10-00000114,群馬県,000114,上信電鉄株式会社,群馬県,2026-07-25,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=10&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-26,,国土交通省公開検索から自動発見
MLIT-10-00000146,群馬県,000146,有限会社前橋不動産,群馬県,2026-07-25,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=10&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-27,,国土交通省公開検索から自動発見
MLIT-10-00000227,群馬県,000227,群馬不動産株式会社 ※,群馬県,2026-07-25,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=10&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-27,,国土交通省公開検索から自動発見
MLIT-10-00000230,群馬県,000230,石橋建設工業株式会社 ※,群馬県,2026-07-25,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=10&pageCount=1&pageListNo1=1&pageListNo2=1,公式サイト未特定・再試行,1,2026-07-27,,国土交通省公開検索から自動発見
